episode,env_steps,return,loss
1,30,30.0,-0.3644721508026123
2,48,18.0,-0.20690655708312988
3,86,38.0,0.069754958152771
4,107,21.0,0.19038987159729004
5,129,22.0,0.4392443895339966
6,151,22.0,0.07584011554718018
7,162,11.0,-0.14334309101104736
8,188,26.0,0.2094806432723999
9,205,17.0,0.09450316429138184
10,219,14.0,0.16496670246124268
11,241,22.0,-0.018320918083190918
12,260,19.0,0.006920576095581055
13,273,13.0,0.11518716812133789
14,323,50.0,0.23965036869049072
15,336,13.0,0.11720943450927734
16,352,16.0,-0.23461395502090454
17,381,29.0,0.3041762113571167
18,390,9.0,0.10691064596176147
19,407,17.0,0.15182185173034668
20,422,15.0,0.06599783897399902
21,452,30.0,0.16946852207183838
22,476,24.0,0.09105491638183594
23,494,18.0,0.061439454555511475
24,506,12.0,-0.45441198348999023
25,526,20.0,0.05854296684265137
26,565,39.0,-0.39453721046447754
27,577,12.0,-0.08894979953765869
28,589,12.0,-0.7884976863861084
29,606,17.0,0.12801730632781982
30,626,20.0,0.08200335502624512
31,645,19.0,-0.2780606746673584
32,687,42.0,0.9618991613388062
33,702,15.0,-0.10005438327789307
34,776,74.0,0.03808295726776123
35,789,13.0,-0.011438965797424316
36,814,25.0,0.2507803440093994
37,829,15.0,0.6313218474388123
38,879,50.0,0.36622118949890137
39,902,23.0,0.2908613681793213
40,914,12.0,-0.0388566255569458
41,954,40.0,0.10943543910980225
42,982,28.0,-1.3422929048538208
43,1011,29.0,-0.12005114555358887
44,1047,36.0,0.35526490211486816
45,1089,42.0,0.061769723892211914
46,1105,16.0,0.309877872467041
47,1136,31.0,0.22304832935333252
48,1182,46.0,0.2948291301727295
49,1226,44.0,0.29274797439575195
50,1240,14.0,0.04391825199127197
51,1258,18.0,-0.14124184846878052
52,1275,17.0,0.11029064655303955
53,1289,14.0,0.11399281024932861
54,1301,12.0,-0.4934955835342407
55,1321,20.0,0.4371401071548462
56,1337,16.0,-0.8756600618362427
57,1379,42.0,0.08066451549530029
58,1391,12.0,0.14611172676086426
59,1404,13.0,0.2734946012496948
60,1429,25.0,-0.16463565826416016
61,1449,20.0,-0.39543092250823975
62,1486,37.0,-0.19988000392913818
63,1513,27.0,-1.3016221523284912
64,1524,11.0,-1.0113823413848877
65,1547,23.0,-0.09556770324707031
66,1563,16.0,-0.5524729490280151
67,1585,22.0,0.011755704879760742
68,1606,21.0,0.07026338577270508
69,1625,19.0,-2.2636425495147705
70,1641,16.0,0.10481429100036621
71,1656,15.0,-0.2915780544281006
72,1694,38.0,0.3183611035346985
73,1712,18.0,-0.20721232891082764
74,1727,15.0,-0.2717670202255249
75,1740,13.0,-0.377909779548645
76,1753,13.0,-0.7541434168815613
