episode,env_steps,return,actor_loss,critic_loss,mean_advantage
1,15,15.0,5.047012805938721,7.32103967666626,7.82103967666626
2,35,20.0,7.181771278381348,9.358648300170898,9.858613967895508
3,53,18.0,6.43252420425415,8.596783638000488,9.096783638000488
4,69,16.0,5.43048620223999,7.7017598152160645,8.201760292053223
5,91,22.0,7.6768012046813965,10.292501449584961,10.792501449584961
6,105,14.0,4.528817653656006,6.735343933105469,7.2353434562683105
7,121,16.0,5.168024063110352,7.594531059265137,8.094531059265137
8,135,14.0,4.969789505004883,6.691232204437256,7.191233158111572
9,155,20.0,6.876317501068115,9.309215545654297,9.809195518493652
10,172,17.0,6.001412391662598,7.986496925354004,8.486377716064453
11,188,16.0,5.341264724731445,7.475337028503418,7.974593639373779
12,222,34.0,11.306941986083984,15.096488952636719,15.59644603729248
13,242,20.0,7.006351947784424,9.263507843017578,9.763465881347656
14,257,15.0,5.508638858795166,6.8956499099731445,7.392776012420654
15,275,18.0,6.501424789428711,8.224963188171387,8.720403671264648
16,287,12.0,3.6092472076416016,5.5059285163879395,5.996026992797852
17,300,13.0,4.097978115081787,5.932436943054199,6.4274821281433105
18,309,9.0,2.59564471244812,4.04577112197876,4.529569625854492
19,319,10.0,3.838991403579712,4.463717937469482,4.956557273864746
20,340,21.0,6.8257060050964355,9.451650619506836,9.9417724609375
21,352,12.0,3.697089910507202,5.380523204803467,5.866550445556641
22,391,39.0,11.978788375854492,16.726314544677734,17.21696662902832
23,416,25.0,8.269190788269043,11.113242149353027,11.609521865844727
24,429,13.0,3.906053066253662,5.7081403732299805,6.192453861236572
25,445,16.0,5.664865970611572,7.1367621421813965,7.627840995788574
26,459,14.0,4.558976650238037,6.2108154296875,6.705500602722168
27,488,29.0,9.016897201538086,12.629889488220215,13.105597496032715
28,501,13.0,3.4748756885528564,5.556884765625,5.99744176864624
29,520,19.0,6.5800089836120605,8.342116355895996,8.819721221923828
30,539,19.0,6.143254280090332,8.371493339538574,8.851448059082031
31,589,50.0,14.609123229980469,20.637205123901367,21.091772079467773
32,624,35.0,10.616462707519531,14.932027816772461,15.401718139648438
33,635,11.0,3.2806475162506104,4.638601303100586,5.09736967086792
