episode,env_steps,return,loss
1,26,26.0,1.8712310791015625
2,59,33.0,0.09046131372451782
3,94,35.0,1.268183708190918
4,107,13.0,-0.6206445693969727
5,119,12.0,-0.2549523115158081
6,131,12.0,-0.42331457138061523
7,144,13.0,0.3670138120651245
8,157,13.0,0.6431235671043396
9,171,14.0,-0.08408200740814209
10,183,12.0,0.32130056619644165
11,201,18.0,-0.183258056640625
12,212,11.0,0.16458803415298462
13,241,29.0,0.22452694177627563
14,251,10.0,0.3051348328590393
15,262,11.0,0.0889737606048584
16,291,29.0,0.508639395236969
17,310,19.0,-0.4718970060348511
18,321,11.0,-0.632349967956543
19,333,12.0,-0.5897672176361084
20,346,13.0,0.48981332778930664
21,387,41.0,1.6181626319885254
22,413,26.0,0.45723021030426025
23,440,27.0,-0.1871861219406128
24,460,20.0,-0.2193695306777954
25,481,21.0,0.8802624940872192
26,509,28.0,0.8429496884346008
27,529,20.0,-0.5712077617645264
28,543,14.0,1.4075006246566772
29,562,19.0,1.0198817253112793
30,583,21.0,1.5720138549804688
31,599,16.0,-0.38089561462402344
32,615,16.0,2.2429354190826416
33,632,17.0,1.8914952278137207
34,650,18.0,0.275079607963562
35,680,30.0,-0.6832733154296875
36,705,25.0,1.855830192565918
37,717,12.0,-0.03755295276641846
38,728,11.0,-0.051326870918273926
39,753,25.0,0.2976170778274536
40,768,15.0,-0.14570075273513794
41,784,16.0,1.4891552925109863
42,800,16.0,0.6031579375267029
43,813,13.0,0.9455838203430176
44,831,18.0,-0.71033775806427
45,854,23.0,0.40133577585220337
46,866,12.0,-0.356364369392395
47,878,12.0,0.7600905299186707
48,889,11.0,0.5379446744918823
49,909,20.0,1.3145999908447266
50,922,13.0,0.14095497131347656
51,933,11.0,-0.7473989725112915
52,946,13.0,-0.10253393650054932
53,971,25.0,0.006812453269958496
54,991,20.0,-0.36800849437713623
55,1002,11.0,0.2912670969963074
56,1021,19.0,0.42435717582702637
57,1036,15.0,0.29363054037094116
58,1070,34.0,1.101426124572754
59,1081,11.0,-0.4746699333190918
60,1097,16.0,-0.45398378372192383
61,1125,28.0,-0.1452162265777588
62,1139,14.0,-0.35225093364715576
63,1150,11.0,0.06023871898651123
64,1170,20.0,-0.30716145038604736
65,1184,14.0,0.44437652826309204
66,1210,26.0,1.276965856552124
67,1236,26.0,0.3296986222267151
68,1245,9.0,0.820189893245697
69,1278,33.0,1.5034821033477783
70,1290,12.0,-0.31058216094970703
71,1300,10.0,-0.33093971014022827
72,1318,18.0,-0.4293639659881592
73,1330,12.0,-0.3069279193878174
74,1354,24.0,0.14040911197662354
75,1367,13.0,0.41833609342575073
76,1388,21.0,0.658543050289154
77,1406,18.0,0.4314091205596924
78,1422,16.0,0.4092278480529785
79,1437,15.0,0.020899176597595215
80,1458,21.0,0.4317737817764282
81,1474,16.0,0.4557915925979614
82,1510,36.0,0.6649075746536255
83,1527,17.0,1.141967535018921
84,1544,17.0,0.19768810272216797
85,1574,30.0,0.616919219493866
86,1586,12.0,-0.3099326491355896
87,1601,15.0,-0.011620402336120605
88,1614,13.0,0.3161793351173401
89,1627,13.0,-0.11214935779571533
90,1645,18.0,0.15898048877716064
91,1659,14.0,0.11186861991882324
92,1686,27.0,-0.05680429935455322
93,1700,14.0,0.003921151161193848
94,1712,12.0,0.024763107299804688
95,1756,44.0,0.03829371929168701
96,1778,22.0,0.09019148349761963
97,1805,27.0,-0.08065611124038696
98,1846,41.0,-0.10122096538543701
99,1860,14.0,-0.051795899868011475
100,1873,13.0,-0.33915239572525024
101,1907,34.0,-0.135237455368042
102,1923,16.0,-0.0799475908279419
103,1949,26.0,-0.10200393199920654
104,1975,26.0,0.047548890113830566
105,1996,21.0,-0.08891499042510986
106,2005,9.0,-0.18083667755126953
107,2060,55.0,0.7467184066772461
108,2072,12.0,-0.24493712186813354
109,2088,16.0,0.018662214279174805
110,2105,17.0,0.06956160068511963
111,2115,10.0,-0.35451197624206543
112,2154,39.0,-0.03433501720428467
113,2183,29.0,0.2698936462402344
114,2198,15.0,0.06632083654403687
115,2214,16.0,0.20536017417907715
116,2230,16.0,-0.34931719303131104
117,2246,16.0,-0.0007603168487548828
118,2258,12.0,-0.3815837502479553
119,2286,28.0,-0.06469130516052246
120,2301,15.0,-0.2518301010131836
121,2319,18.0,-0.4306379556655884
122,2332,13.0,0.4851568341255188
123,2357,25.0,-0.26068639755249023
124,2373,16.0,0.0872262716293335
125,2390,17.0,-0.5020742416381836
126,2409,19.0,-0.48556333780288696
127,2427,18.0,0.19451427459716797
128,2449,22.0,-0.2561908960342407
129,2478,29.0,0.13533997535705566
130,2531,53.0,-0.10521328449249268
131,2546,15.0,0.027070939540863037
132,2559,13.0,-0.36292779445648193
133,2593,34.0,-0.3921847939491272
134,2615,22.0,0.7655782103538513
135,2625,10.0,0.4623876214027405
136,2666,41.0,3.103050470352173
137,2679,13.0,-0.2892981767654419
138,2748,69.0,-0.24134612083435059
139,2777,29.0,-0.5096502304077148
140,2809,32.0,1.8686673641204834
141,2830,21.0,0.005973339080810547
142,2850,20.0,0.3394281268119812
143,2873,23.0,-0.17368590831756592
144,2949,76.0,-1.431309700012207
145,2995,46.0,-0.20925015211105347
146,3018,23.0,0.627142071723938
147,3032,14.0,0.363675594329834
148,3045,13.0,0.3646184206008911
149,3055,10.0,0.4571201205253601
150,3065,10.0,0.9574562311172485
151,3076,11.0,-0.5219287872314453
152,3108,32.0,0.4303291440010071
153,3123,15.0,-0.3581070899963379
154,3140,17.0,0.13653945922851562
155,3161,21.0,0.6933977603912354
156,3216,55.0,-0.054615020751953125
157,3227,11.0,-0.8023566007614136
158,3242,15.0,0.350721538066864
159,3273,31.0,0.3484891653060913
160,3301,28.0,0.06309837102890015
161,3358,57.0,0.28150254487991333
162,3371,13.0,-0.24886149168014526
163,3384,13.0,0.06507253646850586
164,3412,28.0,-0.07485389709472656
165,3420,8.0,0.244928777217865
166,3448,28.0,-0.43424487113952637
167,3473,25.0,0.014461278915405273
168,3506,33.0,-0.11597418785095215
169,3549,43.0,-1.1203362941741943
170,3564,15.0,0.061537861824035645
171,3578,14.0,-0.14962029457092285
172,3599,21.0,-0.8075888156890869
173,3613,14.0,-0.031074047088623047
174,3641,28.0,-0.2705117464065552
175,3659,18.0,-0.11775368452072144
176,3681,22.0,0.2921781539916992
177,3702,21.0,-0.10836982727050781
178,3718,16.0,-0.020360112190246582
179,3742,24.0,0.0072029829025268555
180,3752,10.0,-0.0055686235427856445
181,3776,24.0,-0.16255056858062744
182,3875,99.0,0.23981225490570068
183,3890,15.0,-0.10279303789138794
184,3906,16.0,-0.1409308910369873
185,3922,16.0,0.8445647954940796
186,3936,14.0,-0.13162708282470703
187,3949,13.0,-0.061936020851135254
188,3962,13.0,-0.1909656524658203
189,4014,52.0,-0.37632179260253906
190,4037,23.0,-0.23508727550506592
191,4053,16.0,-0.09170007705688477
192,4069,16.0,0.09613299369812012
193,4094,25.0,0.3743380308151245
194,4104,10.0,-0.06554651260375977
195,4141,37.0,0.3207327127456665
196,4155,14.0,-0.2315882444381714
197,4179,24.0,0.1274668574333191
198,4217,38.0,-0.3167378902435303
199,4242,25.0,0.015190839767456055
200,4279,37.0,-0.32988446950912476
201,4331,52.0,0.5923296213150024
